Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Heart_Rate_Reserve,Water_Intake_Per_Hour,Calories_Per_Hour,BMI_Category
56,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4,3,30.2,120,2.0710059171597632,776.9230769230769,Obesity
46,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,32.0,113,1.6153846153846154,679.2307692307692,Obesity
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,24.71,113,2.072072072072072,609.9099099099099,Healthy Weight
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.41,134,3.5593220338983054,901.6949152542373,Underweight
38,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.39,120,4.375,868.75,Underweight
56,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,15.5,2.7,5,3,20.55,94,1.6981132075471699,701.8867924528302,Healthy Weight
36,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3,2,23.76,101,1.5436241610738255,929.5302013422819,Healthy Weight
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,30.57,125,1.4960629921259843,704.7244094488188,Obesity
28,Male,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4,2,32.34,133,2.5242718446601944,698.0582524271845,Obesity
28,Male,101.8,1.84,169,136,64,1.08,808.0,Cardio,29.7,2.7,3,1,30.07,105,2.5,748.1481481481482,Obesity
41,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,20.5,3.0,2,1,43.31,134,3.658536585365854,723.1707317073171,Obesity
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.89,103,3.0434782608695654,752.1739130434784,Underweight
57,Male,112.5,1.61,195,165,61,1.24,1013.0,Cardio,22.1,2.7,3,2,43.4,134,2.17741935483871,816.9354838709678,Obesity
41,Male,94.5,2.0,179,136,69,1.18,794.0,HIIT,27.6,3.7,3,1,23.62,110,3.1355932203389836,672.8813559322034,Healthy Weight
20,Male,117.7,1.81,196,161,54,1.35,1195.0,Yoga,26.4,3.3,3,2,35.93,142,2.444444444444444,885.1851851851851,Obesity
39,Female,42.5,1.75,181,131,52,1.13,740.0,Strength,26.2,2.1,2,1,13.88,129,1.858407079646018,654.8672566371682,Underweight
19,Female,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3,2,27.34,108,1.7293233082706765,835.3383458646616,Overweight
41,Female,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3,1,13.98,124,1.3445378151260505,742.8571428571429,Underweight
47,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,32.8,2.5,3,2,21.81,143,2.212389380530974,656.637168141593,Healthy Weight
